# record,      epoch,      desig, name
90000001,       -239,         1P, Halley
90000002,       -163,         1P, Halley
90000003,        -86,         1P, Halley
90000004,        -11,         1P, Halley
90000005,         66,         1P, Halley
90000006,        141,         1P, Halley
90000007,        218,         1P, Halley
90000008,        295,         1P, Halley
90000009,        374,         1P, Halley
90000010,        451,         1P, Halley
90000011,        530,         1P, Halley
90000012,        607,         1P, Halley
90000013,        684,         1P, Halley
90000014,        760,         1P, Halley
90000015,        837,         1P, Halley
90000016,        912,         1P, Halley
90000017,        989,         1P, Halley
90000018,       1066,         1P, Halley
90000019,       1145,         1P, Halley
90000020,       1222,         1P, Halley
90000021,       1301,         1P, Halley
90000022,       1378,         1P, Halley
90000023,       1456,         1P, Halley
90000024,       1531,         1P, Halley
90000025,       1607,         1P, Halley
90000026,       1682,         1P, Halley
90000027,       1759,         1P, Halley
90000028,       1835,         1P, Halley
90000029,       1910,         1P, Halley
90000030,       1968,         1P, Halley
90000031,       1786,         2P, Encke
90000032,       1796,         2P, Encke
90000033,       1805,         2P, Encke
90000034,       1819,         2P, Encke
90000035,       1822,         2P, Encke
90000036,       1825,         2P, Encke
90000037,       1828,         2P, Encke
90000038,       1832,         2P, Encke
90000039,       1835,         2P, Encke
90000040,       1838,         2P, Encke
90000041,       1842,         2P, Encke
90000042,       1845,         2P, Encke
90000043,       1848,         2P, Encke
90000044,       1852,         2P, Encke
90000045,       1855,         2P, Encke
90000046,       1858,         2P, Encke
90000047,       1862,         2P, Encke
90000048,       1865,         2P, Encke
90000049,       1868,         2P, Encke
90000050,       1872,         2P, Encke
90000051,       1875,         2P, Encke
90000052,       1878,         2P, Encke
90000053,       1881,         2P, Encke
90000054,       1885,         2P, Encke
90000055,       1888,         2P, Encke
90000056,       1891,         2P, Encke
90000057,       1895,         2P, Encke
90000058,       1898,         2P, Encke
90000059,       1901,         2P, Encke
90000060,       1904,         2P, Encke
90000061,       1908,         2P, Encke
90000062,       1911,         2P, Encke
90000063,       1914,         2P, Encke
90000064,       1918,         2P, Encke
90000065,       1921,         2P, Encke
90000066,       1924,         2P, Encke
90000067,       1928,         2P, Encke
90000068,       1931,         2P, Encke
90000069,       1934,         2P, Encke
90000070,       1937,         2P, Encke
90000071,       1941,         2P, Encke
90000072,       1947,         2P, Encke
90000073,       1951,         2P, Encke
90000074,       1954,         2P, Encke
90000075,       1957,         2P, Encke
90000076,       1961,         2P, Encke
90000077,       1964,         2P, Encke
90000078,       1967,         2P, Encke
90000079,       1971,         2P, Encke
90000080,       1974,         2P, Encke
90000081,       1977,         2P, Encke
90000082,       1980,         2P, Encke
90000083,       1984,         2P, Encke
90000084,       1987,         2P, Encke
90000085,       1990,         2P, Encke
90000086,       1994,         2P, Encke
90000087,       1995,         2P, Encke
90000088,       1998,         2P, Encke
90000089,       2004,         2P, Encke
90000090,       2017,         2P, Encke
90000091,       1772,         3D, Biela
90000092,       1805,         3D, Biela
90000093,       1826,         3D, Biela
90000094,       1832,         3D, Biela
90000095,       1843,         4P, Faye
90000096,       1851,         4P, Faye
90000097,       1858,         4P, Faye
90000098,       1866,         4P, Faye
90000099,       1873,         4P, Faye
90000100,       1881,         4P, Faye
90000101,       1888,         4P, Faye
90000102,       1896,         4P, Faye
90000103,       1910,         4P, Faye
90000104,       1925,         4P, Faye
90000105,       1932,         4P, Faye
90000106,       1940,         4P, Faye
90000107,       1947,         4P, Faye
90000108,       1952,         4P, Faye
90000109,       1955,         4P, Faye
90000110,       1962,         4P, Faye
90000111,       1969,         4P, Faye
90000112,       1977,         4P, Faye
90000113,       1984,         4P, Faye
90000114,       1986,         4P, Faye
90000115,       1991,         4P, Faye
90000116,       2007,         4P, Faye
90000117,       2019,         4P, Faye
90000118,       1846,         5D, Brorsen
90000119,       1857,         5D, Brorsen
90000120,       1868,         5D, Brorsen
90000121,       1873,         5D, Brorsen
90000122,       1879,         5D, Brorsen
90000123,       1879,         5D, Brorsen
90000124,       1678,         6P, d'Arrest
90000125,       1851,         6P, d'Arrest
90000126,       1857,         6P, d'Arrest
90000127,       1870,         6P, d'Arrest
90000128,       1877,         6P, d'Arrest
90000129,       1890,         6P, d'Arrest
90000130,       1897,         6P, d'Arrest
90000131,       1910,         6P, d'Arrest
90000132,       1923,         6P, d'Arrest
90000133,       1943,         6P, d'Arrest
90000134,       1950,         6P, d'Arrest
90000135,       1963,         6P, d'Arrest
90000136,       1970,         6P, d'Arrest
90000137,       1976,         6P, d'Arrest
90000138,       1982,         6P, d'Arrest
90000139,       1989,         6P, d'Arrest
90000140,       1995,         6P, d'Arrest
90000141,       2002,         6P, d'Arrest
90000142,       2009,         6P, d'Arrest
90000143,       2015,         6P, d'Arrest
90000144,       2021,         6P, d'Arrest
90000145,       1819,         7P, Pons-Winnecke
90000146,       1858,         7P, Pons-Winnecke
90000147,       1869,         7P, Pons-Winnecke
90000148,       1875,         7P, Pons-Winnecke
90000149,       1886,         7P, Pons-Winnecke
90000150,       1892,         7P, Pons-Winnecke
90000151,       1898,         7P, Pons-Winnecke
90000152,       1909,         7P, Pons-Winnecke
90000153,       1915,         7P, Pons-Winnecke
90000154,       1921,         7P, Pons-Winnecke
90000155,       1927,         7P, Pons-Winnecke
90000156,       1933,         7P, Pons-Winnecke
90000157,       1939,         7P, Pons-Winnecke
90000158,       1945,         7P, Pons-Winnecke
90000159,       1951,         7P, Pons-Winnecke
90000160,       1964,         7P, Pons-Winnecke
90000161,       1970,         7P, Pons-Winnecke
90000162,       1976,         7P, Pons-Winnecke
90000163,       1983,         7P, Pons-Winnecke
90000164,       1989,         7P, Pons-Winnecke
90000165,       1995,         7P, Pons-Winnecke
90000166,       2002,         7P, Pons-Winnecke
90000167,       2015,         7P, Pons-Winnecke
90000168,       1790,         8P, Tuttle
90000169,       1858,         8P, Tuttle
90000170,       1871,         8P, Tuttle
90000171,       1885,         8P, Tuttle
90000172,       1899,         8P, Tuttle
90000173,       1912,         8P, Tuttle
90000174,       1926,         8P, Tuttle
90000175,       1939,         8P, Tuttle
90000176,       1967,         8P, Tuttle
90000177,       1980,         8P, Tuttle
90000178,       1994,         8P, Tuttle
90000179,       2008,         8P, Tuttle
90000180,       1867,         9P, Tempel 1
90000181,       1873,         9P, Tempel 1
90000182,       1879,         9P, Tempel 1
90000183,       1967,         9P, Tempel 1
90000184,       1972,         9P, Tempel 1
90000185,       1978,         9P, Tempel 1
90000186,       1983,         9P, Tempel 1
90000187,       1988,         9P, Tempel 1
90000188,       1994,         9P, Tempel 1
90000189,       2004,         9P, Tempel 1
90000190,       2013,         9P, Tempel 1
90000191,       2016,         9P, Tempel 1
90000192,       1873,        10P, Tempel 2
90000193,       1878,        10P, Tempel 2
90000194,       1894,        10P, Tempel 2
90000195,       1899,        10P, Tempel 2
90000196,       1904,        10P, Tempel 2
90000197,       1915,        10P, Tempel 2
90000198,       1920,        10P, Tempel 2
90000199,       1925,        10P, Tempel 2
90000200,       1930,        10P, Tempel 2
90000201,       1946,        10P, Tempel 2
90000202,       1951,        10P, Tempel 2
90000203,       1957,        10P, Tempel 2
90000204,       1962,        10P, Tempel 2
90000205,       1967,        10P, Tempel 2
90000206,       1972,        10P, Tempel 2
90000207,       1978,        10P, Tempel 2
90000208,       1983,        10P, Tempel 2
90000209,       1988,        10P, Tempel 2
90000210,       1994,        10P, Tempel 2
90000211,       1999,        10P, Tempel 2
90000212,       2008,        10P, Tempel 2
90000213,       2013,        10P, Tempel 2
90000214,       1869,        11P, Tempel-Swift-LINEAR
90000215,       1880,        11P, Tempel-Swift-LINEAR
90000216,       1891,        11P, Tempel-Swift-LINEAR
90000217,       1908,        11P, Tempel-Swift-LINEAR
90000218,       2002,        11P, Tempel-Swift-LINEAR
90000219,       2019,        11P, Tempel-Swift-LINEAR
90000220,       1812,        12P, Pons-Brooks
90000221,       1884,        12P, Pons-Brooks
90000222,       1897,        12P, Pons-Brooks
90000223,       2023,        12P, Pons-Brooks
90000224,       1815,        13P, Olbers
90000225,       1887,        13P, Olbers
90000226,       2017,        13P, Olbers
90000227,       1884,        14P, Wolf
90000228,       1891,        14P, Wolf
90000229,       1898,        14P, Wolf
90000230,       1912,        14P, Wolf
90000231,       1919,        14P, Wolf
90000232,       1925,        14P, Wolf
90000233,       1934,        14P, Wolf
90000234,       1942,        14P, Wolf
90000235,       1950,        14P, Wolf
90000236,       1959,        14P, Wolf
90000237,       1967,        14P, Wolf
90000238,       1970,        14P, Wolf
90000239,       1976,        14P, Wolf
90000240,       1984,        14P, Wolf
90000241,       1992,        14P, Wolf
90000242,       2000,        14P, Wolf
90000243,       2011,        14P, Wolf
90000244,       1886,        15P, Finlay
90000245,       1893,        15P, Finlay
90000246,       1906,        15P, Finlay
90000247,       1919,        15P, Finlay
90000248,       1926,        15P, Finlay
90000249,       1953,        15P, Finlay
90000250,       1960,        15P, Finlay
90000251,       1967,        15P, Finlay
90000252,       1974,        15P, Finlay
90000253,       1981,        15P, Finlay
90000254,       1988,        15P, Finlay
90000255,       1996,        15P, Finlay
90000256,       2007,        15P, Finlay
90000257,       2015,        15P, Finlay
90000258,       1889,        16P, Brooks 2
90000259,       1896,        16P, Brooks 2
90000260,       1903,        16P, Brooks 2
90000261,       1911,        16P, Brooks 2
90000262,       1925,        16P, Brooks 2
90000263,       1932,        16P, Brooks 2
90000264,       1939,        16P, Brooks 2
90000265,       1946,        16P, Brooks 2
90000266,       1953,        16P, Brooks 2
90000267,       1960,        16P, Brooks 2
90000268,       1973,        16P, Brooks 2
90000269,       1980,        16P, Brooks 2
90000270,       1987,        16P, Brooks 2
90000271,       1994,        16P, Brooks 2
90000272,       2015,        16P, Brooks 2
90000273,       2016,        16P, Brooks 2
90000274,       1892,        17P, Holmes
90000275,       1899,        17P, Holmes
90000276,       1906,        17P, Holmes
90000277,       1964,        17P, Holmes
90000278,       1972,        17P, Holmes
90000279,       1979,        17P, Holmes
90000280,       1986,        17P, Holmes
90000281,       1993,        17P, Holmes
90000282,       2000,        17P, Holmes
90000283,       2007,        17P, Holmes
90000284,       2010,        17P, Holmes
90000285,       2016,        17P, Holmes
90000286,       1896,        18D, Perrine-Mrkos
90000287,       1909,        18D, Perrine-Mrkos
90000288,       1955,        18D, Perrine-Mrkos
90000289,       1962,        18D, Perrine-Mrkos
90000290,       1969,        18D, Perrine-Mrkos
90000291,       1905,        19P, Borrelly
90000292,       1911,        19P, Borrelly
90000293,       1918,        19P, Borrelly
90000294,       1925,        19P, Borrelly
90000295,       1932,        19P, Borrelly
90000296,       1953,        19P, Borrelly
90000297,       1960,        19P, Borrelly
90000298,       1967,        19P, Borrelly
90000299,       1974,        19P, Borrelly
90000300,       1981,        19P, Borrelly
90000301,       1987,        19P, Borrelly
90000302,       1994,        19P, Borrelly
90000303,       2004,        19P, Borrelly
90000304,       2021,        19P, Borrelly
90000305,       1852,        20D, Westphal
90000306,       1913,        20D, Westphal
90000307,       1900,        21P, Giacobini-Zinner
90000308,       1913,        21P, Giacobini-Zinner
90000309,       1926,        21P, Giacobini-Zinner
90000310,       1933,        21P, Giacobini-Zinner
90000311,       1940,        21P, Giacobini-Zinner
90000312,       1946,        21P, Giacobini-Zinner
90000313,       1959,        21P, Giacobini-Zinner
90000314,       1966,        21P, Giacobini-Zinner
90000315,       1972,        21P, Giacobini-Zinner
90000316,       1979,        21P, Giacobini-Zinner
90000317,       1985,        21P, Giacobini-Zinner
90000318,       1992,        21P, Giacobini-Zinner
90000319,       1998,        21P, Giacobini-Zinner
90000320,       2006,        21P, Giacobini-Zinner
90000321,       2013,        21P, Giacobini-Zinner
90000322,       2017,        21P, Giacobini-Zinner
90000323,       1906,        22P, Kopff
90000324,       1919,        22P, Kopff
90000325,       1926,        22P, Kopff
90000326,       1932,        22P, Kopff
90000327,       1939,        22P, Kopff
90000328,       1945,        22P, Kopff
90000329,       1951,        22P, Kopff
90000330,       1958,        22P, Kopff
90000331,       1964,        22P, Kopff
90000332,       1970,        22P, Kopff
90000333,       1977,        22P, Kopff
90000334,       1983,        22P, Kopff
90000335,       1990,        22P, Kopff
90000336,       1996,        22P, Kopff
90000337,       2003,        22P, Kopff
90000338,       2010,        22P, Kopff
90000339,       2019,        22P, Kopff
90000340,       1847,        23P, Brorsen-Metcalf
90000341,       1919,        23P, Brorsen-Metcalf
90000342,       1989,        23P, Brorsen-Metcalf
90000343,       1911,        24P, Schaumasse
90000344,       1919,        24P, Schaumasse
90000345,       1927,        24P, Schaumasse
90000346,       1943,        24P, Schaumasse
90000347,       1952,        24P, Schaumasse
90000348,       1960,        24P, Schaumasse
90000349,       1976,        24P, Schaumasse
90000350,       1984,        24P, Schaumasse
90000351,       1993,        24P, Schaumasse
90000352,       2001,        24P, Schaumasse
90000353,       2015,        24P, Schaumasse
90000354,       1916,        25D, Neujmin 2
90000355,       1927,        25D, Neujmin 2
90000356,       1808,        26P, Grigg-Skjellerup
90000357,       1902,        26P, Grigg-Skjellerup
90000358,       1922,        26P, Grigg-Skjellerup
90000359,       1927,        26P, Grigg-Skjellerup
90000360,       1932,        26P, Grigg-Skjellerup
90000361,       1937,        26P, Grigg-Skjellerup
90000362,       1942,        26P, Grigg-Skjellerup
90000363,       1947,        26P, Grigg-Skjellerup
90000364,       1952,        26P, Grigg-Skjellerup
90000365,       1957,        26P, Grigg-Skjellerup
90000366,       1962,        26P, Grigg-Skjellerup
90000367,       1967,        26P, Grigg-Skjellerup
90000368,       1972,        26P, Grigg-Skjellerup
